devicename	Time	iOSApp State	iC3 Zone	Interval	Travel Time	Distance	Text
-- sys event --	9:24:46p	-	-	-	-	-	Set Up Waze > Region-US, MinDist-1 mi (1.61km), MaxDist-1000 mi (1609.35km), Realtime-False
-- sys event --	9:24:46p	-	-	-	-	-	Stage 2 > Set up tracked device parameters
-- sys event --	9:24:46p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_iphone > Name-Richards, Type-iPhone, inZoneInterval-2 hrs
-- sys event --	9:24:46p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_ipad > Name-Richards, Type-iPad, inZoneInterval-2 hrs
-- sys event --	9:24:46p	-	-	-	-	-	Decoding ... Config Devices Parameter >, ✓ richards_apple_watch > Name-Richardsapple, Type-Watch, inZoneInterval-2 hrs, iOSApp-NotUsed, 
-- sys event --	9:24:46p	-	-	-	-	-	Stage 2a > Authenticate iCloud Account, List Trackable Devices
-- sys event --	9:24:46p	-	-	-	-	-	iCloud Web Services interface (pyicloud_ic3.py) > Verified
-- sys event --	9:24:53p	-	-	-	-	-	iCloud3 Alert > 2fa Verification Required
-- sys event --	9:24:53p	-	-	-	-	-	Service Call Command Received > `pause`
-- sys event --	9:24:53p	-	-	-	-	-	iCloud3 Command Processed > Device-All, Command-pause 
-- sys event --	9:24:53p	-	-	-	-	-	2fa1.10 Completed HA Notification Window Release (id-547866315072-2)
-- sys event --	9:24:53p	-	-	-	-	-	2fa1.1 Requesting New HA Notification Window
-- sys event --	9:24:53p	-	-	-	-	-	2fa1.2 Completed New HA Notification Window Request
-- sys event --	9:24:53p	-	-	-	-	-	iCloud Account Authenticated (#2) > LastAuth-Never (Initializing), Method-Account/PasswordSignin
-- sys event --	9:24:54p	-	-	-	-	-	Family Sharing List devices that can be tracked >, • richards_airpods_pro > Richard’s AirPods Pro, Accessory, ✓ richards_ipad > Richard’s iPad, iPad, ✓ richards_apple_watch > Richard’s Apple Watch, Watch, • richards_macbook_pro > Richard’s MacBook Pro, MacBookPro, ✓ richards_iphone > Richard’s iPhone, iPhone
-- sys event --	9:24:54p	-	-	-	-	-	iCloud Alert > FmF or FamShr Tracking Method is disabled until Verification has been completed. iOS App Trackimg Method wil be used.
-- sys event --	9:24:54p	-	-	-	-	-	Stage 2b > Setup iOS App Tracking Method
-- sys event --	9:24:54p	-	-	-	-	-	Verified Device for iOS App Tracking > , • richards_iphone: True, •  richards_ipad: True, •  richards_apple_watch: True
-- sys event --	9:24:54p	-	-	-	-	-	Stage 3 > Identify iOS App entities, Verify tracked devices
-- sys event --	9:24:54p	-	-	-	-	-	Entity Registry mobile_app device_tracker. entities found >, • richards_ipad_app (Richard’s iPad), • richards_iphone_app (Richard’s iPhone), • richards_macbook_pro_app (Richard’s MacBook Pro)
-- sys event --	9:24:54p	-	-	-	-	-	7379 notify_devicenames=[`mobile_app_richards_ipad`, `mobile_app_richards_iphone`, `mobile_app_richards_macbook_pro`]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_ipad` notify_devicename_list=[]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_iphone` notify_devicename_list=[`richards_iphone`]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_macbook_pro` notify_devicename_list=[`richards_iphone`]
-- sys event --	9:24:54p	-	-	-	-	-	7390 self.device_tracker_entity_iosapp={`richards_iphone`: `device_tracker.richards_iphone_app`}
-- sys event --	9:24:54p	-	-	-	-	-	7390 self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`]}
-- sys event --	9:24:54p	-	-	-	-	-	Verified Device > Richards (richards_iphone)
-- sys event --	9:24:54p	-	-	-	-	-	iOS App monitored > Richards (richards_iphone) >, • device_tracker.richards_iphone_app, • sensor.richards_iphone_last_update_trigger
-- sys event --	9:24:54p	-	-	-	-	-	iOS App location requests sent to > Richards (richards_iphone) > , • richards_iphone
-- sys event --	9:24:54p	-	-	-	-	-	1290 richards_iphone self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`]}
-- sys event --	9:24:54p	-	-	-	-	-	7379 notify_devicenames=[`mobile_app_richards_ipad`, `mobile_app_richards_iphone`, `mobile_app_richards_macbook_pro`]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_ipad` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_iphone` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:24:54p	-	-	-	-	-	7382 notify_devicename=`mobile_app_richards_macbook_pro` notify_devicename_list=[`richards_ipad`]
-- sys event --	9:24:54p	-	-	-	-	-	7390 self.device_tracker_entity_iosapp={`richards_iphone`: `device_tracker.richards_iphone_app`, `richards_ipad`: `device_tracker.richards_ipad_app`}
-- sys event --	9:24:54p	-	-	-	-	-	7390 self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`], `richards_ipad`: [`richards_ipad`]}
-- sys event --	9:24:54p	-	-	-	-	-	Verified Device > Richards (richards_ipad)
-- sys event --	9:24:54p	-	-	-	-	-	iOS App monitored > Richards (richards_ipad) >, • device_tracker.richards_ipad_app, • sensor.richards_ipad_last_update_trigger
-- sys event --	9:24:54p	-	-	-	-	-	iOS App location requests sent to > Richards (richards_ipad) > , • richards_ipad
-- sys event --	9:24:54p	-	-	-	-	-	1290 richards_ipad self.notify_iosapp_entity={`richards_iphone`: [`richards_iphone`], `richards_ipad`: [`richards_ipad`]}
-- sys event --	9:24:54p	-	-	-	-	-	Verified Device > Richardsapple (richards_apple_watch)
-- sys event --	9:24:54p	-	-	-	-	-	iOS App not monitored > Richardsapple (richards_apple_watch)
-- sys event --	9:24:54p	-	-	-	-	-	Tracking Devices > , • richards_iphone > Richards, iOSAppSuffix-_app, TrkMethod-iOSApp, • richards_ipad > Richards, iOSAppSuffix-_app, TrkMethod-iOSApp, • richards_apple_watch > Richardsapple, iOSApp-NotMonitored, TrkMethod-iOSApp
-- sys event --	9:24:54p	-	-	-	-	-	Stage 4 > Configure tracked devices
-- sys event --	9:24:55p	-	-	-	-	-	Configuring Device > Richards (richards_iphone), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_iphone_stationary, • Update HA Device Entities
-- sys event --	9:24:56p	-	-	-	-	-	Configuring Device > Richards (richards_ipad), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_ipad_stationary, • Update HA Device Entities
-- sys event --	9:24:56p	-	-	-	-	-	Configuring Device > Richardsapple (richards_apple_watch), • Initialize Tracking Fields, • Initialize Zones, • Initialize Stationary Zone > richards_apple_watch_stationary, • Update HA Device Entities
-- sys event --	9:24:56p	-	-	-	-	-	Initialize Event Log Sensor
-- sys event --	9:24:57p	-	-	-	-	-	Initializing iCloud3 v2.4.7 > Complete, Took 14.08 sec
-- sys event --	9:24:57p	-	-	-	-	-	Log Level State > Rawdata: On, 
-- sys event --	9:25:34p	-	-	-	-	-	Log Level State > Logging: Off
-- sys event --	9:26:17p	-	-	-	-	-	iCloud3 Command Processed > Device-richards_iphone, Command-pause 

richards_iphone	9:55:50a	Stationary	Stationary	30 sec	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:56:10a	Stationary	Stationary	30 sec	-	331 mi	Discarded > Requesting iOSApp Location #2 > LastLocTime-9:25:39 (30.5 min ago), LastRequested-9:55:40 (30 sec ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-9:56:45, OldLocPoorGpsCnt-#0, DiscardCnt-#45
richards_iphone	9:56:10a	Stationary	Stationary	30 sec	-	331 mi	Requesting iOSApp Location #2 > LastLocTime-9:25:39 (30.5 min ago), LastRequested-9:55:40 (30 sec ago)
richards_iphone	9:56:10a	Stationary	Stationary	30 sec	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:56:15a	Stationary	Stationary	30 sec	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (30m36s ago), State-richards_iphone_stationary@9:33:24 (22m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-9:56:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	9:56:15a	Stationary	Stationary	30 sec	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:56:41a	Stationary	Stationary	30 sec	-	331 mi	Discarded > Requesting iOSApp Location #3 > LastLocTime-9:25:39 (31 min ago), LastRequested-9:55:40 (1 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-9:57:15, OldLocPoorGpsCnt-#0, DiscardCnt-#46
richards_iphone	9:56:41a	Stationary	Stationary	30 sec	-	331 mi	Requesting iOSApp Location #3 > LastLocTime-9:25:39 (31 min ago), LastRequested-9:55:40 (1 min ago)
richards_iphone	9:56:41a	Stationary	Stationary	30 sec	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:56:45a	Stationary	Stationary	30 sec	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (31m6s ago), State-richards_iphone_stationary@9:33:24 (23m21s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-9:56:40, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	9:56:45a	Stationary	Stationary	30 sec	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:57:10a	Stationary	Stationary	2 min	-	331 mi	Discarded > Requesting iOSApp Location #4 > LastLocTime-9:25:39 (31.5 min ago), LastRequested-9:55:40 (1.5 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-9:59:15, OldLocPoorGpsCnt-#0, DiscardCnt-#47
richards_iphone	9:57:10a	Stationary	Stationary	2 min	-	331 mi	Requesting iOSApp Location #4 > LastLocTime-9:25:39 (31.5 min ago), LastRequested-9:55:40 (1.5 min ago)
richards_iphone	9:57:10a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:57:15a	Stationary	Stationary	2 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (31m36s ago), State-richards_iphone_stationary@9:33:24 (23m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-9:57:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	9:57:15a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:59:10a	Stationary	Stationary	2 min	-	331 mi	Discarded > Requesting iOSApp Location #5 > LastLocTime-9:25:39 (33.5 min ago), LastRequested-9:55:40 (3.5 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-10:01:15, OldLocPoorGpsCnt-#0, DiscardCnt-#48
richards_iphone	9:59:10a	Stationary	Stationary	2 min	-	331 mi	Requesting iOSApp Location #5 > LastLocTime-9:25:39 (33.5 min ago), LastRequested-9:55:40 (3.5 min ago)
richards_iphone	9:59:10a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	9:59:15a	Stationary	Stationary	2 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (33m36s ago), State-richards_iphone_stationary@9:33:24 (25m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-9:59:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	9:59:15a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:00:00a	Stationary	Stationary	2 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (34m21s ago), State-richards_iphone_stationary@9:33:24 (26m36s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-9:59:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	10:01:10a	Stationary	Stationary	2 min	-	331 mi	Discarded > Requesting iOSApp Location #6 > LastLocTime-9:25:39 (35.5 min ago), LastRequested-9:55:40 (5.5 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-10:03:15, OldLocPoorGpsCnt-#0, DiscardCnt-#49
richards_iphone	10:01:10a	Stationary	Stationary	2 min	-	331 mi	Requesting iOSApp Location #6 > LastLocTime-9:25:39 (35.5 min ago), LastRequested-9:55:40 (5.5 min ago)
richards_iphone	10:01:10a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:01:15a	Stationary	Stationary	2 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (35m36s ago), State-richards_iphone_stationary@9:33:24 (27m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-10:01:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	10:01:15a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:03:11a	Stationary	Stationary	2 min	-	331 mi	Discarded > Requesting iOSApp Location #7 > LastLocTime-9:25:39 (37.5 min ago), LastRequested-9:55:40 (7.5 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-10:05:15, OldLocPoorGpsCnt-#0, DiscardCnt-#50
richards_iphone	10:03:11a	Stationary	Stationary	2 min	-	331 mi	Requesting iOSApp Location #7 > LastLocTime-9:25:39 (37.5 min ago), LastRequested-9:55:40 (7.5 min ago)
richards_iphone	10:03:11a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:03:15a	Stationary	Stationary	2 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (37m36s ago), State-richards_iphone_stationary@9:33:24 (29m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-10:03:10, WillUpdate-True, State Change-richards_iphone_stationary
richards_iphone	10:03:15a	Stationary	Stationary	2 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-OlderTrigger-Bkgnd Fetch, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:05:10a	Stationary	Stationary	30 min	-	331 mi	Discarded > Requesting iOSApp Location #8 > LastLocTime-9:25:39 (39.5 min ago), LastRequested-9:55:40 (9.5 min ago), OldLocThreshold-1.5 min, GPS-(51.517883, -0.124399), NextUpdt-10:35:15, OldLocPoorGpsCnt-#0, DiscardCnt-#51
richards_iphone	10:05:10a	Stationary	Stationary	30 min	-	331 mi	Requesting iOSApp Location #8 > LastLocTime-9:25:39 (39.5 min ago), LastRequested-9:55:40 (9.5 min ago)
richards_iphone	10:05:10a	Stationary	Stationary	30 min	-	331 mi	Device Monitor > UpdateMethod-None, UpdateReason-, State-stationary, Trigger-Bkgnd Fetch, LastLoc-9:25:39, Zone-richards_iphone_stationary, HomeDist-532.73km, inZone-True, GPS-(51.517883, -0.124289/35m), StateThisPoll-stationary, StateLastPoll-stationary
richards_iphone	10:05:15a	Stationary	Stationary	30 min	-	331 mi	iOSApp Monitor > Trigger-Bkgnd Fetch@9:25:39 (39m36s ago), State-richards_iphone_stationary@9:33:24 (31m51s ago), GPS-(51.517883, -0.124289/35m), LastiC3UpdtTime-10:05:10, WillUpdate-True, State Change-richards_iphone_stationary
